"JUDGE","count","Overall_median","Pre_pandemic_count","Pre_pandemic_median","Pandemic_count","Pandemic_median"
"Vincent M. Gaughan",56,2.1,48,2,8,2.6
"Thomas J. Byrne",20,2.2,16,2,4,3.7
"Charles P. Burns",49,2.6,39,2.6,10,2.5
"James B. Linn",75,2.8,59,2.5,16,2.9
"Timothy J. Joyce",27,2.8,18,2.4,9,3.1
"James M. Obbish",23,2.9,17,2.6,6,4.5
"Carol M. Howard",28,3.1,16,2.5,12,4.6
"Michael B McHale",22,3.4,15,2.8,7,5.7
"William H. Hooks",29,3.4,23,3.4,6,6.4
"Mary Margaret Brosnahan",28,3.9,26,3.7,2,5.6
"Joseph M. Claps",40,4,28,3.3,12,5.1
"Lawrence E. Flood",22,4.1,14,3.5,8,5.4
"Stanley Sacks",41,4.2,34,3.6,7,5.8
"Kenneth J. Wadas",39,4.3,29,3.9,10,4.4
